RANK,WORD,PART OF SPEECH,FREQUENCY,DISPERSION
1732,   chest,n,22508,0.89
4683,   chew,v,5669,0.91
1546,   chicken,n,24465,0.93
1453,   chief,j,26456,0.93
1781,   chief,n,20453,0.95
115,   child,n,333849,0.97
2124,   childhood,n,16268,0.96
4671,   chill,n,5675,0.91
3984,   chin,n,7585,0.86
1222,   Chinese,j,32334,0.94
2177,   chip,n,16162,0.94
2659,   chocolate,n,12682,0.92
631,   choice,n,60487,0.97
3144,   cholesterol,n,10641,0.87
601,   choose,v,64348,0.97
4000,   chop,v,7452,0.87
1278,   Christian,j,30726,0.94
3190,   Christian,n,9751,0.93
4332,   Christianity,n,6312,0.91
1370,   Christmas,n,28046,0.94
3688,   chronic,j,8036,0.91
4552,   chunk,n,5682,0.94
649,   church,n,59466,0.96
2128,   cigarette,n,17160,0.91
1515,   circle,n,24735,0.95
4793,   circle,v,5401,0.91
4063,   circuit,n,6747,0.94
1794,   circumstance,n,20310,0.95
1946,   cite,v,19011,0.93
1088,   citizen,n,36408,0.95
4905,   citizenship,n,5602,0.86
291,   city,n,132684,0.95
4008,   civic,j,7088,0.91
1054,   civil,j,37742,0.95
3246,   civilian,j,9684,0.92
3716,   civilian,n,7889,0.92
3524,   civilization,n,8447,0.93
877,   claim,v,44259,0.97
1357,   claim,n,28609,0.94
432,   class,n,91323,0.94
2639,   classic,j,12610,0.94
3519,   classical,j,8475,0.93
4563,   classify,v,5964,0.89
1488,   classroom,n,27531,0.87
4825,   clay,n,5287,0.93
1523,   clean,j,24325,0.96
1914,   clean,v,18766,0.96
564,   clear,j,68662,0.98
1907,   clear,v,19013,0.95
849,   clearly,r,45912,0.96
3914,   clerk,n,7234,0.93
3832,   click,v,7549,0.92
1161,   client,n,34027,0.94
4357,   cliff,n,6117,0.93
2121,   climate,n,17189,0.91
1575,   climb,v,24367,0.92
4656,   cling,v,5678,0.91
2410,   clinic,n,14016,0.96
2607,   clinical,j,13593,0.89
4248,   clip,n,6660,0.89
2658,   clock,n,12395,0.95
650,   close,v,60884,0.93
882,   close,j,43568,0.98
917,   close,r,42826,0.95
3714,   closed,j,7500,0.97
2055,   closely,r,17220,0.96
3030,   closer,j,9976,0.98
4553,   closest,j,5506,0.97
3502,   closet,n,8597,0.92
3575,   cloth,n,8287,0.93
1440,   clothes,n,27033,0.92
2673,   clothing,n,12078,0.96
1928,   cloud,n,19214,0.92
1263,   club,n,30800,0.95
3359,   clue,n,8732,0.97
3228,   cluster,n,9821,0.91
1036,   coach,n,40716,0.9
2347,   coach,v,15910,0.87
3366,   coal,n,8928,0.94
2259,   coalition,n,15720,0.92
2458,   coast,n,13515,0.96
4076,   coastal,j,6880,0.92
2267,   coat,n,16010,0.9
4361,   cocaine,n,6207,0.91
1657,   code,n,22015,0.95
1395,   coffee,n,28331,0.92
3370,   cognitive,j,10166,0.83
4421,   coin,n,5947,0.93
888,   cold,j,44649,0.95
3518,   cold,n,8527,0.92
4214,   collaboration,n,6889,0.87
3240,   collapse,v,9163,0.97
3474,   collapse,n,8397,0.95
4597,   collar,n,5791,0.91
1527,   colleague,n,24370,0.95
1325,   collect,v,28946,0.95
1049,   collection,n,38431,0.93
3371,   collective,j,9384,0.9
4013,   collector,n,6976,0.93
416,   college,n,97038,0.94
3351,   colonial,j,9628,0.88
3710,   colony,n,7822,0.93
698,   color,n,56978,0.94
4668,   color,v,5465,0.95
4509,   colorful,j,5773,0.94
2091,   column,n,16810,0.96
4451,   columnist,n,5997,0.92
3442,   combat,n,8675,0.94
1822,   combination,n,20026,0.94
1455,   combine,v,26570,0.93
